year,geo_abr,geo_name,question,value,topic,unit,break_out,indicator
2017,NV,Nevada,Oral health (open-mouth) surveys using Basic Screening Survey protocol,No,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2015,FL,Florida,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2019,WI,Wisconsin,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2012,RI,Rhode Island,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2018,CO,Colorado,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2016,OH,Ohio,"Number of health agencies serving jurisdictions of 250,000+ population",5,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2011,PA,Pennsylvania,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2015,UT,Utah,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2013,MN,Minnesota,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2020,MO,Missouri,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2013,WA,Washington,Years in current dental director position,< 1,Leadership,years,,Years in current dental director position
2015,WY,Wyoming,Special populations programs,Yes,Programs,,For older adults,Special populations programs: For older adults
2016,CA,California,"Number of health agencies serving jurisdictions of 250,000+ population",,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2017,RI,Rhode Island,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2019,WY,Wyoming,State dental director/program manager position requirement,,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2017,ID,Idaho,"Number of health agencies serving jurisdictions of 250,000+ population",2,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2017,IL,Illinois,Years in current dental director position,< 1,Leadership,years,,Years in current dental director position
2020,OR,Oregon,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2012,SD,South Dakota,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2016,WY,Wyoming,Special populations programs,Yes,Programs,,For older adults,Special populations programs: For older adults
2020,ME,Maine,State dental director/program manager position requirement,No,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2014,VA,Virginia,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2016,KS,Kansas,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2016,MN,Minnesota,"Number of health agencies serving jurisdictions of 250,000+ population",6,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2011,AK,Alaska,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2014,CO,Colorado,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2020,WI,Wisconsin,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2015,ID,Idaho,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2011,CA,California,System for children with cleft lips/cleft palates,,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2016,HI,Hawaii,Years in current dental director position,2,Leadership,years,,Years in current dental director position
2012,MN,Minnesota,Current state dental director,Yes,Leadership,,,Current state dental director
2014,NM,New Mexico,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2014,CT,Connecticut,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2015,FL,Florida,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2015,NE,Nebraska,Prevention Programs,No,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
